Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
16/05/2025	-1,38%	-0,02	1,43	1,35	1,17	1,61	462K	134
15/05/2025	-5,84%	-0,09	1,45	1,18	1,18	1,60	2M	551
14/05/2025	-12,00%	-0,21	1,54	1,57	1,28	1,66	918K	798
13/05/2025	16,67%	0,25	1,75	1,56	1,06	1,77	1M	545
12/05/2025	53,06%	0,52	1,50	1,26	1,26	1,86	2M	2.355
09/05/2025	13,95%	0,12	0,98	1,05	0,79	1,05	2M	1.623
08/05/2025	40,98%	0,25	0,86	0,74	0,69	1,00	3M	1.367
07/05/2025	3,39%	0,02	0,61	0,67	0,49	0,69	2M	1.305
06/05/2025	15,69%	0,08	0,59	0,58	0,56	0,73	3M	1.790
05/05/2025	-49,00%	-0,49	0,51	0,77	0,48	0,87	2M	2.211
02/05/2025	42,86%	0,30	1,00	0,76	0,66	1,02	2M	1.443
30/04/2025	-27,84%	-0,27	0,70	0,90	0,68	0,97	2M	2.053
29/04/2025	2,11%	0,02	0,97	0,97	0,75	1,14	2M	1.222
28/04/2025	-15,93%	-0,18	0,95	1,07	0,91	1,22	2M	1.055
25/04/2025	-1,74%	-0,02	1,13	1,05	1,04	1,27	2M	1.102
24/04/2025	-8,00%	-0,10	1,15	1,33	1,03	1,36	3M	1.580
23/04/2025	-13,19%	-0,19	1,25	1,65	1,25	1,99	1M	450
22/04/2025	-0,69%	-0,01	1,44	1,45	1,16	1,61	2M	509
17/04/2025	21,85%	0,26	1,45	1,31	1,27	1,67	1M	357
16/04/2025	-10,53%	-0,14	1,19	1,34	1,15	1,42	2M	483
15/04/2025	-25,70%	-0,46	1,33	1,67	1,25	1,76	467K	252
14/04/2025	-4,79%	-0,09	1,79	2,65	1,71	2,65	635K	641
11/04/2025	-1,05%	-0,02	1,88	1,94	1,58	2,40	1M	562
10/04/2025	-39,68%	-1,25	1,90	2,50	1,88	2,50	2M	523
09/04/2025	39,38%	0,89	3,15	2,00	1,89	3,22	704K	181
08/04/2025	-28,71%	-0,91	2,26	3,34	2,26	3,34	351K	33
07/04/2025	-16,80%	-0,64	3,17	3,74	3,15	3,74	120K	31
04/04/2025	-28,92%	-1,55	3,81	3,84	3,55	3,86	161K	44
03/04/2025	-16,64%	-1,07	5,36	5,36	5,25	5,45	81K	12
02/04/2025	-4,03%	-0,27	6,43	6,36	6,36	6,43	83K	5
01/04/2025	0,00%	0,00	6,70	6,78	6,70	6,78	122K	2
31/03/2025	-1,18%	-0,08	6,70	6,86	6,70	6,86	28K	3
28/03/2025	-3,69%	-0,26	6,78	6,51	6,51	6,78	33K	5
27/03/2025	2,92%	0,20	7,04	7,00	7,00	7,05	86K	6
26/03/2025	5,88%	0,38	6,84	6,89	6,84	6,89	11K	2
25/03/2025	5,38%	0,33	6,46	6,65	6,45	6,65	7K	9
24/03/2025	13,52%	0,73	6,13	6,09	6,09	6,30	24K	4
20/03/2025	-5,43%	-0,31	5,40	5,40	5,40	5,40	3K	1
19/03/2025	0,71%	0,04	5,71	5,63	5,63	5,71	384K	40
18/03/2025	6,58%	0,35	5,67	5,68	5,67	5,69	22K	4
17/03/2025	8,57%	0,42	5,32	5,32	5,32	5,32	5K	1
14/03/2025	21,59%	0,87	4,90	4,90	4,90	4,90	5K	1
13/03/2025	3,33%	0,13	4,03	4,06	3,90	4,20	366K	20
12/03/2025	-4,18%	-0,17	3,90	3,86	3,84	3,90	5K	3
06/03/2025	-	-	4,07	4,17	4,07	4,17	84K	3
