Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
15/08/2025	-14,72%	-0,29	1,68	1,72	1,68	1,72	68K	2
14/08/2025	-15,45%	-0,36	1,97	1,90	1,90	2,16	150K	133
13/08/2025	-10,04%	-0,26	2,33	2,40	2,26	2,65	139K	88
12/08/2025	-1,15%	-0,03	2,59	2,79	2,59	3,03	439K	57
11/08/2025	-1,87%	-0,05	2,62	2,81	2,50	2,81	511K	33
08/08/2025	-40,40%	-1,81	2,67	3,78	2,57	3,78	336K	137
07/08/2025	7,18%	0,30	4,48	4,58	4,46	4,70	215K	23
06/08/2025	0,00%	0,00	4,18	4,74	4,18	4,74	86K	5
05/08/2025	1,95%	0,08	4,18	4,11	4,11	4,25	208K	12
04/08/2025	-0,24%	-0,01	4,10	4,03	4,03	4,10	13K	2
01/08/2025	-5,73%	-0,25	4,11	4,23	4,06	4,23	78K	10
30/07/2025	-2,90%	-0,13	4,36	4,36	4,36	4,36	89K	2
29/07/2025	10,86%	0,44	4,49	4,15	4,15	4,56	31K	26
28/07/2025	6,58%	0,25	4,05	4,23	4,05	4,43	47K	94
24/07/2025	0,53%	0,02	3,80	4,07	3,80	4,07	1K	2
23/07/2025	9,25%	0,32	3,78	3,54	3,54	3,78	2K	2
22/07/2025	7,79%	0,25	3,46	3,39	3,39	3,66	22K	17
21/07/2025	0,31%	0,01	3,21	3,06	3,06	3,27	8K	3
18/07/2025	-12,33%	-0,45	3,20	3,19	2,99	3,28	61K	12
17/07/2025	-7,36%	-0,29	3,65	3,83	3,59	3,84	120K	12
16/07/2025	-5,52%	-0,23	3,94	3,95	3,79	4,02	192K	18
15/07/2025	-5,66%	-0,25	4,17	4,38	4,04	4,38	760K	55
14/07/2025	-7,14%	-0,34	4,42	4,45	4,40	4,49	642K	59
11/07/2025	6,01%	0,27	4,76	4,81	4,76	4,82	297K	4
10/07/2025	-4,87%	-0,23	4,49	4,45	4,45	4,55	411K	4
08/07/2025	3,51%	0,16	4,72	4,77	4,72	4,77	20K	4
04/07/2025	0,22%	0,01	4,56	4,55	4,55	4,56	95K	2
03/07/2025	5,32%	0,23	4,55	4,55	4,55	4,55	91K	1
02/07/2025	11,05%	0,43	4,32	4,32	4,32	4,32	16K	1
01/07/2025	0,00%	0,00	3,89	3,86	3,86	3,89	6K	2
27/06/2025	1,30%	0,05	3,89	3,92	3,89	3,92	87K	2
25/06/2025	-28,09%	-1,50	3,84	4,06	3,84	4,06	26K	8
23/06/2025	0,38%	0,02	5,34	5,44	5,34	5,44	12K	2
18/06/2025	2,11%	0,11	5,32	5,32	5,32	5,32	74K	1
17/06/2025	4,41%	0,22	5,21	5,21	5,21	5,21	2K	1
16/06/2025	-3,48%	-0,18	4,99	4,98	4,98	4,99	95K	2
13/06/2025	102,75%	2,62	5,17	5,04	5,04	5,26	38K	4
09/06/2025	-8,93%	-0,25	2,55	2,50	2,50	2,55	10K	3
06/06/2025	-26,32%	-1,00	2,80	2,80	2,78	2,80	15K	3
15/05/2025	-	-	3,80	3,80	3,80	3,80	38K	1
