Data	Variação %	Variação	Cotação	Abertura	Mínimo	Máximo	Volume	Nº Negócios
19/09/2025	0,00%	0,00	0,01	0,01	0,01	0,01	595	29
18/09/2025	-85,71%	-0,06	0,01	0,07	0,01	0,08	139K	1.535
17/09/2025	-30,00%	-0,03	0,07	0,08	0,07	0,11	349K	1.322
16/09/2025	-9,09%	-0,01	0,10	0,09	0,06	0,15	296K	1.196
15/09/2025	22,22%	0,02	0,11	0,10	0,06	0,12	310K	1.367
12/09/2025	-43,75%	-0,07	0,09	0,18	0,09	0,23	427K	708
11/09/2025	-30,43%	-0,07	0,16	0,21	0,15	0,21	262K	601
10/09/2025	76,92%	0,10	0,23	0,13	0,11	0,25	726K	4.508
09/09/2025	18,18%	0,02	0,13	0,12	0,12	0,17	365K	1.151
08/09/2025	-15,38%	-0,02	0,11	0,15	0,10	0,18	134K	211
05/09/2025	-48,00%	-0,12	0,13	0,20	0,11	0,20	513K	610
04/09/2025	-3,85%	-0,01	0,25	0,26	0,22	0,30	280K	303
03/09/2025	-29,73%	-0,11	0,26	0,30	0,23	0,37	432K	513
02/09/2025	15,62%	0,05	0,37	0,27	0,26	0,41	668K	710
01/09/2025	-8,57%	-0,03	0,32	0,36	0,30	0,39	737K	542
29/08/2025	16,67%	0,05	0,35	0,28	0,28	0,40	706K	462
28/08/2025	20,00%	0,05	0,30	0,28	0,28	0,35	499K	370
27/08/2025	4,17%	0,01	0,25	0,23	0,22	0,28	178K	223
26/08/2025	-20,00%	-0,06	0,24	0,25	0,21	0,28	214K	231
25/08/2025	15,38%	0,04	0,30	0,26	0,26	0,33	550K	400
22/08/2025	100,00%	0,13	0,26	0,16	0,16	0,31	503K	543
21/08/2025	-7,14%	-0,01	0,13	0,16	0,13	0,17	103K	168
20/08/2025	-6,67%	-0,01	0,14	0,19	0,14	0,19	68K	125
19/08/2025	-16,67%	-0,03	0,15	0,17	0,14	0,18	141K	233
18/08/2025	-10,00%	-0,02	0,18	0,20	0,18	0,27	184K	249
15/08/2025	-9,09%	-0,02	0,20	0,21	0,17	0,21	114K	381
14/08/2025	-31,25%	-0,10	0,22	0,30	0,22	0,33	185K	359
13/08/2025	-28,89%	-0,13	0,32	0,42	0,31	0,43	399K	354
12/08/2025	-4,26%	-0,02	0,45	0,45	0,41	0,55	432K	357
11/08/2025	0,00%	0,00	0,47	0,65	0,43	0,65	489K	437
08/08/2025	-66,43%	-0,93	0,47	0,95	0,47	1,04	2M	992
07/08/2025	14,75%	0,18	1,40	1,30	1,30	1,51	817K	231
06/08/2025	1,67%	0,02	1,22	1,40	1,20	1,55	612K	229
05/08/2025	7,14%	0,08	1,20	1,20	1,10	1,23	277K	227
04/08/2025	-7,44%	-0,09	1,12	1,21	1,10	1,23	201K	119
