Opcao,Strike,Data_Vencimento,Data_Inicio_Simulacao,Preco_Opcao,Preco_Abertura_PETR,Strike_Formatado,Preco_Opcao_Formatado,Preco_Abertura_PETR_Formatado
PETRE284,27.76,2025-05-16,2025-04-15,3.32,29.39,R$ 27.76,R$ 3.32,R$ 29.39
PETRE289,28.26,2025-05-16,2025-04-15,2.94,29.39,R$ 28.26,R$ 2.94,R$ 29.39
PETRE301,29.26,2025-05-16,2025-04-15,1.93,29.39,R$ 29.26,R$ 1.93,R$ 29.39
PETRE306,30.01,2025-05-16,2025-04-15,1.6,29.39,R$ 30.01,R$ 1.60,R$ 29.39
PETRE312,30.51,2025-05-16,2025-04-15,1.33,29.39,R$ 30.51,R$ 1.33,R$ 29.39
PETRE316,31.01,2025-05-16,2025-04-15,1.06,29.39,R$ 31.01,R$ 1.06,R$ 29.39
PETRE321,31.51,2025-05-16,2025-04-15,0.8,29.39,R$ 31.51,R$ 0.80,R$ 29.39
PETRF303,28.94,2025-06-20,2025-05-19,2.73,30.22,R$ 28.94,R$ 2.73,R$ 30.22
PETRF321,30.69,2025-06-20,2025-05-19,1.29,30.22,R$ 30.69,R$ 1.29,R$ 30.22
PETRF326,31.19,2025-06-20,2025-05-19,0.96,30.22,R$ 31.19,R$ 0.96,R$ 30.22
PETRF331,29.69,2025-06-20,2025-05-19,0.74,30.22,R$ 29.69,R$ 0.74,R$ 30.22
PETRF342,32.69,2025-06-20,2025-05-19,0.34,30.22,R$ 32.69,R$ 0.34,R$ 30.22
PETRF376,33.44,2025-06-20,2025-05-19,0.21,30.22,R$ 33.44,R$ 0.21,R$ 30.22
PETRG307,29.23,2025-07-18,2025-06-17,4.16,31.66,R$ 29.23,R$ 4.16,R$ 31.66
PETRG332,31.73,2025-07-18,2025-06-17,2.03,31.66,R$ 31.73,R$ 2.03,R$ 31.66
PETRG353,30.98,2025-07-18,2025-06-17,2.63,31.66,R$ 30.98,R$ 2.63,R$ 31.66
PETRG388,34.48,2025-07-18,2025-06-17,0.59,31.66,R$ 34.48,R$ 0.59,R$ 31.66
PETRG398,35.48,2025-07-18,2025-06-17,0.37,31.66,R$ 35.48,R$ 0.37,R$ 31.66
PETRH1,35.23,2025-08-15,2025-07-15,0.13,31.52,R$ 35.23,R$ 0.13,R$ 31.52
PETRH304,29.73,2025-08-15,2025-07-15,2.81,31.52,R$ 29.73,R$ 2.81,R$ 31.52
PETRH310,30.23,2025-08-15,2025-07-15,2.31,31.52,R$ 30.23,R$ 2.31,R$ 31.52
PETRH335,31.98,2025-08-15,2025-07-15,1.09,31.52,R$ 31.98,R$ 1.09,R$ 31.52
PETRH345,32.98,2025-08-15,2025-07-15,0.62,31.52,R$ 32.98,R$ 0.62,R$ 31.52
PETRH369,36.23,2025-08-15,2025-07-15,0.08,31.52,R$ 36.23,R$ 0.08,R$ 31.52
PETRI288,27.47,2025-09-19,2025-08-19,2.48,29.53,R$ 27.47,R$ 2.48,R$ 29.53
PETRI28,28.22,2025-09-19,2025-08-19,1.31,29.53,R$ 28.22,R$ 1.31,R$ 29.53
PETRI29,28.97,2025-09-19,2025-08-19,1.31,29.53,R$ 28.97,R$ 1.31,R$ 29.53
PETRI313,29.22,2025-09-19,2025-08-19,1.13,29.53,R$ 29.22,R$ 1.13,R$ 29.53
PETRI333,31.22,2025-09-19,2025-08-19,0.28,29.53,R$ 31.22,R$ 0.28,R$ 29.53
PETRI341,31.97,2025-09-19,2025-08-19,0.15,29.53,R$ 31.97,R$ 0.15,R$ 29.53
